duration,ft_change,ut_change,tank_change,time_lag,first_slope_ratio,first_fm_index,first_feces_index,first_urine_index,first_fm_value,event_num,duration(s),flowmeter,num_max_feces,num_max_urine,flowmeter-tank
0 days 00:02:40,0.13,0.0,0.13,-64.0,0.0,0.0,93.0,157.0,0.05416666666666667,1.0,160.0,3.314166666666667,0.0,0.0,3.184166666666667
0 days 00:02:14,4.45,0.51,4.96,-1.0,183.49999999999991,37.0,5.0,6.0,0.17333333333333334,2.0,134.0,0.8666666666666667,1.0,1.0,-4.093333333333334
0 days 00:03:58,3.5999999999999996,0.6399999999999999,4.239999999999999,-14.0,5.328571428571422,,5.0,19.0,0.0,3.0,238.0,0.0,3.0,4.0,-4.239999999999999
0 days 00:01:30,0.7680000000000007,0.3400000000000003,1.108000000000001,-8.0,2.145454545454562,,0.0,8.0,0.0,4.0,90.0,0.0,1.0,1.0,-1.108000000000001
0 days 00:03:56,4.949999999999999,1.0499999999999994,5.999999999999998,12.0,0.7202797202797208,0.0,61.0,49.0,0.175,5.0,236.0,18.677500000000002,4.0,4.0,12.677500000000004
0 days 00:02:09,0.6789999999999985,0.33999999999999986,1.0189999999999984,24.0,2.891891891891886,,34.0,10.0,0.0,6.0,129.0,0.0,1.0,1.0,-1.0189999999999984
0 days 00:07:49,8.870000000000006,1.0,9.870000000000006,-132.0,0.07633587786256653,0.0,96.0,228.0,0.16833333333333333,7.0,469.0,15.7375,4.0,4.0,5.867499999999994
0 days 00:01:41,1.0500000000000043,0.1299999999999999,1.1800000000000042,-1.0,3.794520547945245,13.0,11.0,12.0,0.18666666666666665,8.0,101.0,16.766666666666666,2.0,1.0,15.586666666666662
0 days 00:03:03,5.969999999999999,0.5599999999999987,6.529999999999998,-1.0,5.885906040268413,0.0,47.0,48.0,0.16833333333333333,9.0,183.0,9.869666666666665,2.0,2.0,3.339666666666668
0 days 00:06:53,2.332999999999995,0.2270000000000003,2.559999999999995,-304.0,3.5527136788002616e-13,0.0,0.0,304.0,0.12683333333333333,10.0,413.0,0.6341666666666667,2.0,2.0,-1.9258333333333284
0 days 00:07:24,11.0,1.5700000000000003,12.57,9.0,15.849765258215912,188.0,12.0,3.0,0.16999999999999998,11.0,444.0,6.1,5.0,4.0,-6.470000000000001
0 days 00:06:51,13.460000000000008,1.8600000000000012,15.32000000000001,-112.0,0.9090909090905713,0.0,45.0,157.0,0.17666666666666667,12.0,411.0,6.466666666666667,4.0,3.0,-8.853333333333342
0 days 00:08:08,18.29,1.759999999999998,20.049999999999997,-215.0,3.9474596431116354e-14,0.0,13.0,228.0,0.024166666666666666,13.0,488.0,7.140750000000001,4.0,4.0,-12.909249999999997
0 days 00:03:03,3.6399999999999864,0.5700000000000003,4.209999999999987,9.0,14.59999999999941,,9.0,0.0,0.0,14.0,183.0,0.0,2.0,3.0,-4.209999999999987
0 days 00:06:04,6.180000000000007,0.6799999999999997,6.8600000000000065,-8.0,2.500000000000999,,9.0,17.0,0.0,15.0,364.0,0.0,4.0,3.0,-6.8600000000000065
0 days 00:04:25,9.560000000000002,1.0700000000000003,10.630000000000003,9.0,10.840909090909062,0.0,95.0,86.0,0.17833333333333332,16.0,265.0,8.003916666666665,2.0,2.0,-2.6260833333333373
0 days 00:05:34,6.060000000000002,0.5499999999999989,6.610000000000001,4.0,5.420289855072535,0.0,175.0,171.0,0.16999999999999998,17.0,334.0,10.375,3.0,3.0,3.764999999999999
0 days 00:04:50,0.21999999999999886,0.019999999999999574,0.23999999999999844,3.0,1.9999999999996443,0.0,10.0,7.0,0.175,18.0,290.0,9.085833333333333,0.0,0.0,8.845833333333335
0 days 00:03:37,0.1599999999999966,0.16000000000000192,0.3199999999999985,-147.0,0.1923076923075156,0.0,7.0,154.0,0.06016666666666667,19.0,217.0,2.2308333333333334,0.0,1.0,1.910833333333335
0 days 00:04:30,3.0,0.490000000000002,3.490000000000002,4.0,5.094736842105248,0.0,124.0,120.0,0.185,20.0,270.0,5.105833333333333,1.0,1.0,1.615833333333331
0 days 00:03:56,13.700000000000003,1.9400000000000013,15.640000000000004,-13.0,8.851562500000012,,11.0,24.0,0.0,21.0,236.0,0.0,3.0,3.0,-15.640000000000004
0 days 00:05:02,10.0,1.4669999999999987,11.466999999999999,-4.0,15.599999999997205,,7.0,11.0,0.0,22.0,302.0,0.0,5.0,4.0,-11.466999999999999
0 days 00:01:48,1.799999999999983,0.259999999999998,2.059999999999981,11.0,7.793103448275859,,13.0,2.0,0.0,23.0,108.0,0.0,1.0,1.0,-2.059999999999981
0 days 00:02:49,1.8600000000000136,0.33000000000000185,2.1900000000000155,-3.0,4.691358024691475,,10.0,13.0,0.0,24.0,169.0,0.0,2.0,2.0,-2.1900000000000155
