duration,ft_change,ut_change,tank_change,time_lag,first_slope_ratio,first_fm_index,first_feces_index,first_urine_index,first_fm_value,event_num,duration(s),flowmeter,num_max_feces,num_max_urine,flowmeter-tank
0 days 00:05:32,6,0.8,6.8,7,10.71681416,0,36,29,0.166666667,1,332,20.95,2,4,14.15
0 days 00:04:49,12.411,1.76,14.171,6,6.360869565,0,10,4,0.166,2,289,33.01416667,6,6,18.84316667
0 days 00:01:09,0.22,0.27,0.49,-8,0.472527473,,2,10,0,3,69,0,0,1,-0.49
0 days 00:02:20,4.83,0.6,5.43,-3,9.700729927,9,14,17,0.178333333,4,140,4.641666667,2,2,-0.788333333
0 days 00:02:00,1.25,0.28,1.53,11,0.054545455,0,29,18,0.18,5,120,0.9,1,1,-0.63
0 days 00:02:11,0.72,0.41,1.13,5,0.163934426,16,8,3,0.060833333,6,131,0.851666667,1,2,-0.278333333
0 days 00:03:57,2.16,0.27,2.43,-28,0.046979866,0,34,62,0.178333333,7,237,11.105,3,2,8.675
0 days 00:01:48,2.75,0.3,3.05,2,9.47008547,,12,10,0,8,108,0,1,1,-3.05
0 days 00:01:34,0.43,0.24,0.67,5,8.7,13,11,6,0.054166667,9,94,0.489166667,1,1,-0.180833333
0 days 00:03:09,1.445,0.21,1.655,-4,0.294117647,0,14,18,0.188333333,10,189,3.691666667,2,2,2.036666667
0 days 00:04:52,4.29,0.39,4.68,-94,0.043010753,0,74,168,0.178333333,11,292,16.95,1,1,12.27
0 days 00:01:38,2.15,0.32,2.47,-2,5.718954248,,2,4,0,12,98,0,2,1,-2.47
0 days 00:04:02,7.9,0.78,8.68,-17,13.36363636,10,5,22,0.178333333,13,242,7.704166667,4,3,-0.975833333
0 days 00:00:47,0.17,0,0.17,-35,5.6295E+13,,7,42,0,14,47,0,1,0,-0.17
0 days 00:04:07,14.08,1.2,15.28,-21,7.26205E+14,20,2,23,0.175,15,247,18.6775,4,4,3.3975
0 days 00:06:08,5.19,0.75,5.94,7,9.806122449,0,94,87,0.168333333,16,368,7.741666667,3,4,1.801666667
0 days 00:06:01,12.199,1.29,13.489,-25,14.45049505,0,0,25,0.1515,17,361,14.2375,4,4,0.7485
0 days 00:04:09,5.65,0.4,6.05,-23,11.01515152,0,3,26,0.186666667,18,249,19.55,3,3,13.5
0 days 00:01:57,0.42,0.32,0.74,-16,39.33333333,0,9,25,0.0625,19,117,1.650833333,1,1,0.910833333
0 days 00:04:38,5.86,0.67,6.53,-38,0.588235294,0,0,38,0.168333333,20,278,9.869666667,2,2,3.339666667
0 days 00:04:51,2.66,0.37,3.03,1,5.371428571,0,25,24,0.186666667,21,291,10.90083333,3,3,7.870833333
0 days 00:01:17,0.08,0.08,0.16,19,0.344827586,63,24,5,0.17,22,77,2.533333333,0,1,2.373333333
0 days 00:02:09,7.52,0.63,8.15,0,8.123893805,13,3,3,0.18,23,129,3.566666667,2,2,-4.583333333
0 days 00:04:31,5.78,0.72,6.5,-7,8.5,0,14,21,0.186666667,24,271,14.1,3,3,7.6
0 days 00:04:49,13.06,1.25,14.31,2,17.37566138,0,16,14,0.183333333,25,289,15.9075,4,4,1.5975
0 days 00:03:42,1.28,0.36,1.64,30,0.5,0,41,11,0.155,26,222,3.093333333,1,2,1.453333333
0 days 00:03:48,6.6,0.66,7.26,16,0.065217391,7,20,4,0.176666667,27,228,6.466666667,3,4,-0.793333333
0 days 00:03:12,1.7,0.83,2.53,22,0.408163265,14,32,10,0.024166667,28,192,3.38325,1,2,0.85325
0 days 00:01:54,0.28,0,0.28,-76,2.08291E+13,0,33,109,0.171666667,29,114,3.7575,0,0,3.4775
0 days 00:03:13,6.66,0.64,7.3,0,11.92920354,0,22,22,0.178333333,30,193,8.003916667,2,2,0.703916667
0 days 00:10:16,11.382,1.15,12.532,-4,0.714285714,0,17,21,0.17,31,616,19.15583333,8,6,6.623833333
0 days 00:06:00,11.44,0.95,12.39,-127,0.952380952,0,2,129,0.061,32,360,7.641666667,3,5,-4.748333333
