Record,date,time,STALL1,STALL1,STALL1 DIG,DUKE,DUKE,DUKE DIG
1,7/28/2012,2:02:37,1.00E+01,0:00:05,9132,0.00E+00,0:00:11,26
2,7/28/2012,2:02:42,1.00E+01,0:00:10,9091,0.00E+00,0:00:11,23
3,7/28/2012,2:04:13,1.00E+01,0:00:17,9128,0.00E+00,0:00:13,18
4,7/28/2012,2:04:18,9.98E+00,0:00:22,9075,0.00E+00,0:00:13,21
5,7/28/2012,2:04:23,9.98E+00,0:00:27,9075,0.00E+00,0:00:13,25
6,7/28/2012,2:04:28,9.87E+00,0:00:32,8970,0.00E+00,0:00:13,27
7,7/28/2012,2:04:33,9.88E+00,0:00:38,8977,0.00E+00,0:00:13,20
8,7/28/2012,2:07:30,1.01E+01,0:00:44,9161,0.00E+00,0:00:17,28
9,7/28/2012,2:07:35,1.01E+01,0:00:49,9146,0.00E+00,0:00:17,21
10,7/28/2012,2:12:53,1.05E+01,0:00:58,9571,0.00E+00,0:00:21,26
11,7/28/2012,2:12:58,1.06E+01,0:01:03,9605,0.00E+00,0:00:21,21
12,7/28/2012,2:13:03,1.05E+01,0:01:08,9551,0.00E+00,0:00:21,22
13,7/28/2012,2:13:08,1.05E+01,0:01:13,9550,0.00E+00,0:00:21,22
14,7/28/2012,2:13:13,1.04E+01,0:01:18,9408,0.00E+00,0:00:21,27
15,7/28/2012,2:13:40,1.09E+01,0:01:26,9947,0.00E+00,0:00:22,25
16,7/28/2012,2:13:45,1.10E+01,0:01:31,9953,0.00E+00,0:00:22,22
17,7/28/2012,2:13:50,1.09E+01,0:01:36,9940,0.00E+00,0:00:22,25
18,7/28/2012,2:13:55,1.09E+01,0:01:41,9937,0.00E+00,0:00:22,18
19,7/28/2012,2:14:00,1.09E+01,0:01:46,9946,0.00E+00,0:00:22,22
20,7/28/2012,2:20:09,1.08E+01,0:01:53,9785,0.00E+00,0:00:25,21
21,7/28/2012,2:20:14,1.10E+01,0:01:58,9982,0.00E+00,0:00:25,25
22,7/28/2012,2:20:19,1.08E+01,0:02:03,9820,0.00E+00,0:00:25,25
23,7/28/2012,2:20:24,1.08E+01,0:02:08,9825,0.00E+00,0:00:25,22
24,7/28/2012,2:20:29,1.08E+01,0:02:13,9821,0.00E+00,0:00:25,22
25,7/28/2012,2:20:34,1.08E+01,0:02:18,9840,0.00E+00,0:00:25,25
26,7/28/2012,2:20:39,1.08E+01,0:02:23,9815,0.00E+00,0:00:25,22
27,7/28/2012,2:20:44,1.08E+01,0:02:28,9830,0.00E+00,0:00:25,20
28,7/28/2012,2:20:49,1.11E+01,0:02:33,10078,0.00E+00,0:00:25,22
29,7/28/2012,2:20:54,1.10E+01,0:02:39,9956,0.00E+00,0:00:25,23
30,7/28/2012,2:20:59,1.10E+01,0:02:44,9956,0.00E+00,0:00:25,23
31,7/28/2012,2:21:04,1.11E+01,0:02:49,10047,0.00E+00,0:00:25,27
32,7/28/2012,2:21:09,1.10E+01,0:02:54,9962,0.00E+00,0:00:25,23
33,7/28/2012,2:21:14,1.09E+01,0:02:59,9936,0.00E+00,0:00:25,22
34,7/28/2012,2:21:19,1.10E+01,0:03:04,9955,0.00E+00,0:00:25,25
35,7/28/2012,2:21:24,1.08E+01,0:03:09,9821,0.00E+00,0:00:25,21
36,7/28/2012,2:21:29,1.10E+01,0:03:14,9967,0.00E+00,0:00:25,25
37,7/28/2012,2:39:30,1.08E+01,0:03:23,9846,0.00E+00,0:00:27,23
38,7/28/2012,2:39:35,1.08E+01,0:03:28,9833,0.00E+00,0:00:27,27
39,7/28/2012,2:39:40,1.08E+01,0:03:33,9822,0.00E+00,0:00:27,26
40,7/28/2012,2:39:45,1.08E+01,0:03:38,9815,0.00E+00,0:00:27,22
41,7/28/2012,2:45:00,1.04E+01,0:03:45,9462,0.00E+00,0:00:29,21
42,7/28/2012,2:45:05,1.04E+01,0:03:50,9446,0.00E+00,0:00:29,18
43,7/28/2012,2:45:10,1.04E+01,0:03:56,9447,0.00E+00,0:00:29,22
44,7/28/2012,2:45:15,1.04E+01,0:04:01,9451,0.00E+00,0:00:29,26
45,7/28/2012,2:45:20,1.04E+01,0:04:06,9443,0.00E+00,0:00:29,21
46,7/28/2012,2:45:25,1.04E+01,0:04:11,9440,0.00E+00,0:00:29,21
47,7/28/2012,2:45:30,1.04E+01,0:04:16,9447,0.00E+00,0:00:29,22
48,7/28/2012,2:45:35,1.04E+01,0:04:21,9450,0.00E+00,0:00:29,25
49,7/28/2012,2:45:40,1.04E+01,0:04:26,9425,0.00E+00,0:00:29,23
50,7/28/2012,2:45:45,1.04E+01,0:04:31,9442,0.00E+00,0:00:29,21
51,7/28/2012,2:45:50,1.04E+01,0:04:36,9430,0.00E+00,0:00:29,26
52,7/28/2012,2:45:55,1.04E+01,0:04:41,9441,0.00E+00,0:00:29,23
53,7/28/2012,2:46:00,1.04E+01,0:04:46,9427,0.00E+00,0:00:29,22
54,7/28/2012,2:46:05,1.04E+01,0:04:51,9428,0.00E+00,0:00:29,22
55,7/28/2012,2:46:10,1.04E+01,0:04:56,9435,0.00E+00,0:00:29,25
56,7/28/2012,2:46:15,1.04E+01,0:05:01,9438,0.00E+00,0:00:29,22
57,7/28/2012,2:46:20,1.04E+01,0:05:06,9435,0.00E+00,0:00:29,21
58,7/28/2012,2:46:25,1.04E+01,0:05:11,9436,0.00E+00,0:00:29,23
59,7/28/2012,2:46:30,1.04E+01,0:05:16,9416,0.00E+00,0:00:29,25
60,7/28/2012,2:46:35,1.04E+01,0:05:21,9427,0.00E+00,0:00:29,18
61,7/28/2012,3:00:34,8.24E+00,0:05:29,7486,0.00E+00,0:00:31,25
62,7/28/2012,3:07:22,3.69E+00,0:05:37,3358,0.00E+00,0:00:32,16
63,7/28/2012,3:07:27,3.67E+00,0:05:42,3332,0.00E+00,0:00:32,23
64,7/28/2012,3:07:32,3.74E+00,0:05:47,3397,0.00E+00,0:00:32,18
65,7/28/2012,3:07:37,2.73E+00,0:05:52,2481,0.00E+00,0:00:32,22
66,7/28/2012,3:07:42,3.86E+00,0:05:57,3505,0.00E+00,0:00:32,21
67,7/28/2012,3:07:47,1.41E+00,0:06:02,1263,0.00E+00,0:00:32,167
68,7/28/2012,3:24:08,8.15E+00,0:06:07,7408,0.00E+00,0:00:34,25
69,7/28/2012,3:24:13,8.04E+00,0:06:12,7306,0.00E+00,0:00:34,25
70,7/28/2012,3:24:18,7.78E+00,0:06:17,7071,0.00E+00,0:00:34,26
71,7/28/2012,3:31:02,1.10E+01,0:06:24,10026,0.00E+00,0:00:36,20
72,7/28/2012,3:31:07,1.10E+01,0:06:29,10013,0.00E+00,0:00:36,25
73,7/28/2012,3:31:12,1.10E+01,0:06:34,10008,0.00E+00,0:00:36,25
74,7/28/2012,3:31:17,1.10E+01,0:06:39,10002,0.00E+00,0:00:36,25
75,7/28/2012,3:31:22,1.10E+01,0:06:44,10007,0.00E+00,0:00:36,25
76,7/28/2012,3:36:38,8.79E+00,0:06:50,7985,0.00E+00,0:00:38,151
77,7/28/2012,3:36:43,8.35E+00,0:06:56,7586,0.00E+00,0:00:38,22
78,7/28/2012,3:36:48,8.28E+00,0:07:01,7528,0.00E+00,0:00:38,25
79,7/28/2012,3:36:53,8.28E+00,0:07:06,7530,0.00E+00,0:00:38,21
80,7/28/2012,3:36:58,8.27E+00,0:07:11,7520,0.00E+00,0:00:38,25
81,7/28/2012,3:37:03,8.28E+00,0:07:16,7525,0.00E+00,0:00:38,20
82,7/28/2012,3:37:08,8.27E+00,0:07:21,7516,0.00E+00,0:00:38,28
83,7/28/2012,3:37:13,8.20E+00,0:07:26,7453,0.00E+00,0:00:38,25
84,7/28/2012,3:37:18,8.19E+00,0:07:31,7447,0.00E+00,0:00:38,22
85,7/28/2012,3:37:23,8.28E+00,0:07:36,7527,0.00E+00,0:00:38,23
