Record,date,time,STALL1,STALL1,STALL1 DIG,DUKE,DUKE,DUKE DIG
1, 5/04/2012, 8:10:17,1.15E+01,   0:35:33.480,10427,0.00E+00,   0:00:00.000,21
2, 5/04/2012, 8:10:22,1.15E+01,   0:35:38.518,10453,0.00E+00,   0:00:00.000,20
3, 5/04/2012, 8:10:27,1.15E+01,   0:35:43.561,10446,0.00E+00,   0:00:00.000,15
4, 5/04/2012, 8:10:32,1.15E+01,   0:35:48.609,10453,0.00E+00,   0:00:00.000,13
5, 5/04/2012, 8:10:37,1.15E+01,   0:35:53.645,10467,0.00E+00,   0:00:00.000,18
6, 5/04/2012, 8:10:42,1.15E+01,   0:35:58.694,10460,0.00E+00,   0:00:00.000,25
7, 5/04/2012, 8:10:47,1.15E+01,   0:36:03.733,10470,0.00E+00,   0:00:00.000,22
8, 5/04/2012, 8:10:52,1.15E+01,   0:36:08.773,10451,0.00E+00,   0:00:00.000,20
9, 5/04/2012, 8:10:57,1.15E+01,   0:36:13.814,10475,0.00E+00,   0:00:00.000,21
10, 5/04/2012, 8:11:02,1.15E+01,   0:36:18.863,10477,0.00E+00,   0:00:00.000,25
11, 5/04/2012, 8:11:07,1.15E+01,   0:36:23.902,10470,0.00E+00,   0:00:00.000,17
12, 5/04/2012, 8:11:12,1.15E+01,   0:36:28.948,10465,0.00E+00,   0:00:00.000,30
13, 5/04/2012, 8:11:17,1.15E+01,   0:36:33.983,10463,0.00E+00,   0:00:00.000,23
14, 5/04/2012, 8:11:22,1.15E+01,   0:36:39.019,10461,0.00E+00,   0:00:00.000,22
15, 5/04/2012, 8:11:27,1.15E+01,   0:36:44.065,10473,0.00E+00,   0:00:00.000,22
16, 5/04/2012, 8:11:32,1.14E+01,   0:36:49.128,10380,0.00E+00,   0:00:00.000,18
17, 5/04/2012, 8:12:11,1.10E+01,   0:36:58.003,10031,0.00E+00,   0:00:00.000,25
18, 5/04/2012, 8:12:16,1.11E+01,   0:37:03.041,10116,0.00E+00,   0:00:00.000,25
19, 5/04/2012, 8:12:21,1.10E+01,   0:37:08.083,10023,0.00E+00,   0:00:00.000,23
20, 5/04/2012, 8:12:26,1.10E+01,   0:37:13.139,9991,0.00E+00,   0:00:00.000,-5
21, 5/04/2012, 8:12:31,1.10E+01,   0:37:18.178,9972,0.00E+00,   0:00:00.000,16
22, 5/04/2012, 8:12:36,1.09E+01,   0:37:23.217,9905,0.00E+00,   0:00:00.000,37
23, 5/04/2012, 8:12:41,1.07E+01,   0:37:28.257,9711,0.00E+00,   0:00:00.000,25
24, 5/04/2012, 8:12:46,1.06E+01,   0:37:33.295,9591,0.00E+00,   0:00:00.000,27
25, 5/04/2012, 8:12:51,1.06E+01,   0:37:38.347,9590,0.00E+00,   0:00:00.000,20
26, 5/04/2012, 8:12:56,1.05E+01,   0:37:43.383,9575,0.00E+00,   0:00:00.000,18
27, 5/04/2012, 8:13:01,1.05E+01,   0:37:48.424,9536,0.00E+00,   0:00:00.000,32
28, 5/04/2012, 8:13:06,1.04E+01,   0:37:53.473,9483,0.00E+00,   0:00:00.000,20
29, 5/04/2012, 8:13:11,1.04E+01,   0:37:58.521,9480,0.00E+00,   0:00:00.000,30
30, 5/04/2012, 8:13:16,1.04E+01,   0:38:03.557,9465,0.00E+00,   0:00:00.000,25
31, 5/04/2012, 8:13:21,1.04E+01,   0:38:08.596,9472,0.00E+00,   0:00:00.000,20
