event_num,duration,duration(s),ft_change,ut_change,tank_change,num_max_feces,num_max_urine
1.0,0 days 00:01:17.000000000,77.0,0.3999999999999996,0.039999999999999813,0.4399999999999994,1.0,2.0
2.0,0 days 00:03:37.000000000,217.0,5.7000000000000055,1.0700000000000005,6.770000000000006,2.0,3.0
3.0,0 days 00:04:16.000000000,256.0,4.019999999999999,0.4599999999999991,4.479999999999998,3.0,3.0
4.0,0 days 00:02:06.000000000,126.0,4.162999999999991,0.5599999999999956,4.7229999999999865,1.0,2.0
5.0,0 days 00:01:40.000000000,100.0,3.0499999999999865,0.35999999999999943,3.409999999999986,1.0,2.0
6.0,0 days 00:02:18.000000000,138.0,2.0639999999999965,0.3199999999999972,2.3839999999999937,1.0,1.0
7.0,0 days 00:01:45.000000000,105.0,1.0799999999999912,0.24999999999999645,1.3299999999999876,1.0,1.0
8.0,0 days 00:02:17.000000000,137.0,2.531999999999954,0.3700000000000112,2.901999999999965,1.0,1.0
9.0,0 days 00:02:54.000000000,174.0,3.87999999999996,0.43999999999999684,4.319999999999957,1.0,2.0
10.0,0 days 00:04:02.000000000,242.0,10.551999999999978,1.5800000000000045,12.131999999999984,3.0,4.0
11.0,0 days 00:06:26.000000000,386.0,10.419999999999888,1.7500000000000062,12.169999999999895,5.0,6.0
12.0,0 days 00:02:51.000000000,171.0,5.92000000000003,0.850000000000005,6.770000000000035,3.0,3.0
13.0,0 days 00:01:30.000000000,90.0,0.7419999999999831,0.05999999999999517,0.8019999999999783,1.0,1.0
14.0,0 days 00:02:13.000000000,133.0,3.4999999999999787,0.2499999999999858,3.7499999999999645,1.0,2.0
15.0,0 days 00:01:07.000000000,67.0,0.39999999999997726,0.29999999999999893,0.6999999999999762,1.0,1.0
16.0,0 days 00:01:51.000000000,111.0,2.5599999999999454,0.3100000000000005,2.869999999999946,1.0,2.0
17.0,0 days 00:01:01.000000000,61.0,0.12299999999997624,0.0,0.12299999999997624,1.0,0.0
18.0,0 days 00:10:00.000000000,600.0,22.109999999999786,3.039999999999994,25.14999999999978,10.0,9.0
19.0,0 days 00:02:49.000000000,169.0,6.259999999999906,0.7799999999999603,7.039999999999866,2.0,3.0
20.0,0 days 00:05:48.000000000,348.0,12.69999999999979,1.999999999999977,14.699999999999767,6.0,5.0
21.0,0 days 00:02:14.000000000,134.0,4.4599999999999085,0.5799999999999752,5.039999999999884,3.0,1.0
22.0,0 days 00:02:12.000000000,132.0,5.959999999999937,0.8800000000000114,6.839999999999948,2.0,1.0
23.0,0 days 00:05:46.000000000,346.0,14.937999999999604,1.8799999999999741,16.81799999999958,7.0,5.0
24.0,0 days 00:02:44.000000000,164.0,5.299999999999841,0.6400000000000006,5.939999999999841,2.0,2.0
