event_num,duration,duration(s),ft_change,ut_change,tank_change,flowmeter,flowmeter-tank,num_max_feces,num_max_urine,urine_first,slope_ratio
1,0 days 00:04:34,274,9.221,1,10.221,10.56002333,0.339023333,2,3,0, 1.3060747663551406 6.086458333333334
2,0 days 00:02:19,139,10.24,0.96,11.2,13.31099667,2.110996667,2,2,0, 9.09964412811389 18.680487804878066
3,0 days 00:04:42,282,13.98,1.5,15.48,15.61009,0.13009,3,3,0, 11.60112359550562 11.125344352617077 9.714285714285706
4,0 days 00:04:32,272,6.98,0.84,7.82,12.01842,4.19842,2,2,1, 6.251428571428572 6.6214285714285985
5,0 days 00:04:35,275,8.956,0.63,9.586,9.315446667,-0.270553333,3,3,0, 9.636029411764712 -8.738562091503264 -26.730769230769052
6,0 days 00:02:11,131,2.768,0.379,3.147,4.573873333,1.426873333,1,1,1,8.052147239
7,0 days 00:03:44,224,5.265,0.77,6.035,9.49877,3.46377,2,2,0, 7.3308687615526775 3.350000000000132
8,0 days 00:03:33,213,8.49,0.747,9.237,11.30360667,2.066606667,2,2,1, 11.583333333333027 11.277858176555718
9,0 days 00:02:52,172,4.06,1.26,5.32,11.78340667,6.463406667,2,2,0, 1.901734104046282 3.4372037914691886
10,0 days 00:02:56,176,5.69,0.52,6.21,10.89153667,4.681536667,2,2,0, 11.461077844311362 9.816816816816786
11,0 days 00:04:03,243,8.826,1.14,9.966,12.85105667,2.885056667,3,4,0, 10.704641350210933 7.448897795591201 7.263157894736837
12,0 days 00:01:23,83,0.72,0.068,0.788,3.252046667,2.464046667,1,1,1,10.86666667
13,0 days 00:02:04,124,6.04,0.49,6.53,4.373463333,-2.156536667,1,1,1,13.05676856
14,0 days 00:05:51,351,25.36,3.5,28.86,35.33826333,6.478263333,7,6,0, 19.227953410981666 27.28533333333333 38.40714285714272 20.81882352941164 12.790790790790776 29.158940397350946
15,0 days 00:03:03,183,3.38,0.34,3.72,1.70135,-2.01865,3,1,0,12.39852399
16,0 days 00:11:01,661,22.08,2.525,24.605,41.85289,17.24789,5,8,1, 10.63689320388353 14.999999999999519 3.8678244090689886 4.02923264311815 2.4227848101266045
