event_num,duration,duration(s),ft_change,ut_change,tank_change,flowmeter,flowmeter-tank,num_max_feces,num_max_urine,urine_first,slope_ratio
1.0,0 days 00:02:08,128.0,0.6200000000000003,0.29,0.9100000000000004,1.9504733333333335,1.0404733333333331,0.0,1.0,1.0,
2.0,0 days 00:02:08,128.0,2.4999999999999996,0.42999999999999994,2.9299999999999997,6.2991366666666675,3.369136666666668,1.0,1.0,1.0, 5.558139534883719
3.0,0 days 00:03:26,206.0,7.659000000000001,1.04,8.699000000000002,6.659940000000001,-2.039060000000001,1.0,3.0,0.0, 5.308653846153847
4.0,0 days 00:00:45,45.0,0.10999999999999943,0.030999999999999472,0.1409999999999989,0.0,-0.1409999999999989,0.0,0.0,1.0,
5.0,0 days 00:03:44,224.0,9.06,1.2999999999999994,10.36,15.260363333333334,4.900363333333335,3.0,3.0,1.0, 6.546623794212217 9.751351351351362 4.136363636363611
6.0,0 days 00:02:43,163.0,11.469999999999999,1.120000000000001,12.59,13.998706666666667,1.4087066666666672,1.0,2.0,1.0, 3.4234234234234195
7.0,0 days 00:02:51,171.0,5.9210000000000065,0.6999999999999984,6.621000000000005,13.345496666666667,6.724496666666663,2.0,2.0,0.0, 7.764818355640554 7.349206349206454
8.0,0 days 00:00:58,58.0,0.09000000000000341,0.2970000000000006,0.387000000000004,0.0,-0.387000000000004,0.0,1.0,0.0,
9.0,0 days 00:03:57,237.0,2.579999999999991,0.6000000000000005,3.1799999999999917,11.712129999999998,8.532130000000006,1.0,1.0,0.0, 6.993548387096784
10.0,0 days 00:02:10,130.0,2.9399999999999977,0.4300000000000006,3.3699999999999983,5.10018,1.7301800000000016,1.0,1.0,0.0, 6.752403846153851
11.0,0 days 00:02:24,144.0,3.0899999999999963,0.40000000000000036,3.4899999999999967,5.719656666666667,2.2296566666666706,1.0,1.0,0.0, 7.018567639257319
12.0,0 days 00:07:19,439.0,8.939999999999998,1.3199999999999994,10.259999999999998,13.269156666666667,3.0091566666666694,3.0,4.0,1.0, 0.3700000000000048 3.747279322853684 1.6312419974391823
13.0,0 days 00:05:09,309.0,8.22000000000002,1.1500000000000004,9.37000000000002,16.215606666666666,6.8456066666666455,4.0,5.0,1.0, 4.817948717948714 2.755793226381461 7.750915750915708 3.016348773841967
14.0,0 days 00:00:51,51.0,0.12000000000000455,0.16999999999999993,0.2900000000000045,0.0,-0.2900000000000045,0.0,1.0,1.0,
15.0,0 days 00:03:53,233.0,3.549000000000021,0.5399999999999991,4.08900000000002,3.51627,-0.57273000000002,3.0,3.0,0.0, 4.1797752808988555 8.269230769230745 14.9999999999999
16.0,0 days 00:02:27,147.0,4.360000000000014,0.5099999999999998,4.870000000000013,1.5503766666666667,-3.3196233333333467,1.0,1.0,1.0, 8.50200000000001
17.0,0 days 00:03:35,215.0,5.037999999999997,0.6799999999999997,5.717999999999996,12.627913333333334,6.909913333333337,3.0,2.0,0.0, 3.5370370370370625 6.259668508287236
18.0,0 days 00:02:58,178.0,4.639999999999986,0.490000000000002,5.129999999999988,5.134446666666667,0.004446666666678922,1.0,3.0,0.0, 8.701431492842511
