duration,ft_change,ut_change,tank_change,time_lag,first_slope_ratio,first_fm_index,first_feces_index,first_urine_index,first_fm_value,event_num,duration(s),flowmeter,num_max_feces,num_max_urine,flowmeter-tank
0 days 00:01:33,0.63,0.16,0.79,-5.0,5.529411764705883,0.0,22.0,27.0,0.17333333333333334,1.0,93.0,0.8666666666666667,1.0,2.0,0.07666666666666666
0 days 00:01:44,0.6100000000000001,0.09000000000000002,0.7000000000000002,-9.0,0.2439024390243906,31.0,5.0,14.0,0.175,2.0,104.0,2.6975,1.0,1.0,1.9974999999999996
0 days 00:01:30,5.841000000000001,0.4860000000000001,6.327000000000001,2.0,4.728915662650604,13.0,5.0,3.0,0.185,3.0,90.0,2.569166666666667,2.0,2.0,-3.757833333333334
0 days 00:01:33,1.1400000000000006,0.44000000000000006,1.5800000000000005,2.0,1.939393939393946,0.0,21.0,19.0,0.020666666666666667,4.0,93.0,1.2716666666666665,1.0,1.0,-0.308333333333334
0 days 00:05:48,4.654,0.4099999999999999,5.064,-143.0,0.5882352941176302,0.0,4.0,147.0,0.175,5.0,348.0,5.614999999999998,2.0,1.0,0.5509999999999984
0 days 00:02:12,4.890000000000001,0.3999999999999999,5.290000000000001,-9.0,10.235294117646987,19.0,2.0,11.0,0.16416666666666666,6.0,132.0,4.227499999999999,2.0,2.0,-1.0625000000000018
0 days 00:01:14,0.7500000000000036,0.375,1.1250000000000036,-5.0,0.0,0.0,12.0,17.0,0.06283333333333334,7.0,74.0,0.9633333333333334,1.0,1.0,-0.16166666666667018
0 days 00:03:18,2.3700000000000045,0.3799999999999999,2.7500000000000044,-33.0,0.4347826086954171,0.0,0.0,33.0,0.18000000000000002,8.0,198.0,4.491666666666667,1.0,2.0,1.7416666666666627
0 days 00:03:22,4.300000000000004,0.37000000000000055,4.670000000000005,-9.0,9.473684210526237,0.0,10.0,19.0,0.06866666666666667,9.0,202.0,3.6366666666666663,4.0,4.0,-1.033333333333339
0 days 00:01:33,0.965999999999994,0.0699999999999994,1.0359999999999934,8.0,23.99999999999947,,15.0,7.0,0.0,10.0,93.0,0.0,1.0,1.0,-1.0359999999999934
0 days 00:07:38,24.79,3.7199999999999998,28.509999999999998,3.0,28.090909090909445,24.0,12.0,9.0,0.185,11.0,458.0,46.7375,7.0,6.0,18.2275
0 days 00:09:50,17.400000000000013,2.280000000000001,19.680000000000014,55.0,25.909090909092004,0.0,106.0,51.0,0.131,12.0,590.0,23.880833333333335,5.0,6.0,4.200833333333321
0 days 00:01:16,0.45000000000001705,0.16999999999999815,0.6200000000000152,3.0,2.5925925925927067,,13.0,10.0,0.0,13.0,76.0,0.0,1.0,1.0,-0.6200000000000152
0 days 00:02:30,1.0,0.09999999999999964,1.0999999999999996,-18.0,2.250000000000146,0.0,33.0,51.0,0.17833333333333332,14.0,150.0,7.974999999999999,2.0,1.0,6.874999999999999
0 days 00:02:45,5.049999999999997,0.6699999999999999,5.719999999999997,-27.0,0.035714285714253086,0.0,0.0,27.0,0.17833333333333332,15.0,165.0,5.35,1.0,1.0,-0.36999999999999744
0 days 00:01:09,0.5,0.23499999999999943,0.7349999999999994,2.0,2.622641509433842,,2.0,0.0,0.0,16.0,69.0,0.0,1.0,1.0,-0.7349999999999994
0 days 00:01:48,1.5400000000000063,0.22000000000000064,1.760000000000007,0.0,8.503937007873958,,5.0,5.0,0.0,17.0,108.0,0.0,1.0,1.0,-1.760000000000007
0 days 00:03:32,0.11000000000001364,0.08999999999999986,0.2000000000000135,-143.0,0.3442622950822035,0.0,22.0,165.0,0.17833333333333332,18.0,212.0,3.8349999999999995,0.0,1.0,3.634999999999986
0 days 00:02:38,5.359999999999999,0.7200000000000006,6.08,1.0,8.894736842105191,8.0,12.0,11.0,0.17333333333333334,19.0,158.0,1.7333333333333334,2.0,2.0,-4.346666666666667
0 days 00:02:51,1.8600000000000136,0.16000000000000014,2.020000000000014,49.0,66.2000000000138,0.0,49.0,0.0,0.185,20.0,171.0,8.325,2.0,2.0,6.3049999999999855
0 days 00:01:35,2.4740000000000038,0.2900000000000009,2.7640000000000047,12.0,22.344827586206375,0.0,28.0,16.0,0.158,21.0,95.0,2.66,1.0,1.0,-0.10400000000000453
0 days 00:00:47,0.007999999999995566,0.09999999999999964,0.10799999999999521,,,,,,,,,,,,
0 days 00:04:31,8.719999999999999,0.860000000000003,9.580000000000002,3.0,18.2222222222222,50.0,12.0,9.0,0.15,23.0,271.0,8.003333333333334,3.0,3.0,-1.576666666666668
0 days 00:02:03,0.8599999999999994,0.2789999999999999,1.1389999999999993,-15.0,2.785276073619705,0.0,17.0,32.0,0.18166666666666667,24.0,123.0,5.324999999999999,1.0,1.0,4.186
0 days 00:04:04,7.679999999999993,0.6939999999999991,8.373999999999992,-1.0,21.230769230769653,112.0,5.0,6.0,0.18833333333333335,25.0,244.0,5.65,3.0,3.0,-2.7239999999999913
