event_num,duration,duration(s),ft_change,ut_change,tank_change,flowmeter,flowmeter-tank,num_max_feces,num_max_urine,urine_first,slope_ratio
1,0 days 00:02:35,155,5.312,0.66,5.972,12.23394,6.26194,0,2,0,
2,0 days 00:05:04,304,5.55,0.57,6.12,4.01983,-2.10017,3,2,0, 29.499999999999915 9.217592592592597
3,0 days 00:01:43,103,2.129,0.366,2.495,4.413373333,1.918373333,1,1,1,5.582386364
4,0 days 00:01:56,116,2.55,0.36,2.91,5.84073,2.93073,1,0,0,
5,0 days 00:03:13,193,9.12,0.992,10.112,11.44469333,1.332693333,3,1,0,17.85294118
6,0 days 00:02:26,146,2.86,0.51,3.37,3.436493333,0.066493333,0,1,0,
7,0 days 00:04:14,254,9.326,0.93,10.256,17.54343333,7.287433333,4,3,0, 11.242666666666668 39.28365384615364 16.293918918918884
8,0 days 00:02:07,127,0.706,0.57,1.276,2.267326667,0.991326667,1,1,1,1.347305389
9,0 days 00:01:43,103,0.708,0.13,0.838,2.37696,1.53896,1,1,1,20.56666667
10,0 days 00:06:59,419,11.736,1.302,13.038,15.15125,2.11325,5,5,0, 9.011538461538452 27.58571428571459 8.973880597014967 7.216049382716049 5.4305555555556255
11,0 days 00:02:20,140,1.01,0.345,1.355,5.038736667,3.683736667,0,1,0,
12,0 days 00:02:41,161,5.251,1.03,6.281,9.968936667,3.687936667,2,2,1, 5.098404255319154 7.143478260869528
13,0 days 00:02:48,168,3.14,0.45,3.59,8.18157,4.59157,1,2,0,2.388888889
14,0 days 00:02:17,137,2.36,0.27,2.63,2.770606667,0.140606667,1,2,1,8.853846154
15,0 days 00:00:42,42,0.09,0.12,0.21,2.536313333,2.326313333,0,1,0,
16,0 days 00:11:49,709,20.092,2.74,22.832,27.08042,4.24842,6,9,0, 17.766666666667323 9.245652173913022 2.315280464216642 0.8263888888888644 3.7360406091370253 2.534408602150538
17,0 days 00:02:08,128,3.9,0.34,4.24,7.797793333,3.557793333,1,1,1,11.58895706
18,0 days 00:01:16,76,0.64,0.13,0.77,3.90659,3.13659,1,1,0,4.916666667
19,0 days 00:03:26,206,6.578,0.33,6.908,2.439433333,-4.468566667,1,3,1,16.13333333
20,0 days 00:06:08,368,13.22,0.7,13.92,14.86876667,0.948766667,4,6,0, 8.826815642458158 4.41212121212122 13.252631578947444 30.98666666666749
21,0 days 00:03:02,182,6.52,0.903,7.423,10.23717333,2.814173333,2,0,0,
22,0 days 00:01:49,109,0.16,0,0.16,6.887673333,6.727673333,0,0,0,
23,0 days 00:02:32,152,5.04,0.56,5.6,5.63809,0.03809,2,1,0,8.561538462
24,0 days 00:04:18,258,12.32,1.33,13.65,21.03011,7.38011,3,3,0, 7.532219570405731 18.465116279069765 6.290697674418546
25,0 days 00:03:37,217,3.22,0.44,3.66,8.453393333,4.793393333,2,2,0, 2.4117647058823253 8.462540716612269
