event_num,duration,duration(s),ft_change,ut_change,tank_change,num_max_feces,num_max_urine
1.0,0 days 00:06:24.000000000,384.0,9.951999999999998,4.1499999999999995,14.101999999999997,1.0,3.0
2.0,0 days 00:02:14.000000000,134.0,2.669999999999966,0.1599999999999966,2.8299999999999628,1.0,1.0
3.0,0 days 00:05:21.000000000,321.0,20.24999999999999,3.2100000000000053,23.459999999999994,4.0,3.0
4.0,0 days 00:02:18.000000000,138.0,4.49199999999999,0.5900000000000016,5.081999999999992,2.0,2.0
5.0,0 days 00:01:24.000000000,84.0,1.1920000000000073,0.25,1.4420000000000073,1.0,2.0
6.0,0 days 00:01:45.000000000,105.0,1.4499999999999744,0.28999999999999027,1.7399999999999647,1.0,2.0
7.0,0 days 00:02:27.000000000,147.0,5.961000000000006,0.7999999999999989,6.761000000000005,2.0,2.0
8.0,0 days 00:02:30.000000000,150.0,2.4399999999999906,0.24999999999999822,2.689999999999989,2.0,2.0
9.0,0 days 00:02:33.000000000,153.0,3.401999999999923,0.47999999999998977,3.8819999999999126,1.0,1.0
10.0,0 days 00:00:30.000000000,30.0,0.0,0.10999999999999943,0.10999999999999943,0.0,1.0
11.0,0 days 00:01:30.000000000,90.0,1.851999999999947,0.16999999999999815,2.021999999999945,1.0,1.0
12.0,0 days 00:02:58.000000000,178.0,6.522999999999911,0.7899999999999849,7.312999999999896,3.0,1.0
13.0,0 days 00:05:33.000000000,333.0,5.589999999999961,0.5199999999999765,6.109999999999937,2.0,2.0
14.0,0 days 00:01:26.000000000,86.0,0.8299999999999272,0.1199999999999779,0.9499999999999051,1.0,1.0
15.0,0 days 00:03:12.000000000,192.0,5.541999999999902,0.5099999999999696,6.051999999999872,3.0,2.0
16.0,0 days 00:02:13.000000000,133.0,1.569999999999908,0.37999999999998124,1.9499999999998892,2.0,2.0
17.0,0 days 00:01:44.000000000,104.0,0.8599999999999,0.04999999999997229,0.9099999999998722,1.0,0.0
18.0,0 days 00:05:36.000000000,336.0,13.51999999999984,6.709999999999987,20.229999999999826,2.0,4.0
19.0,0 days 00:02:27.000000000,147.0,2.4999999999999147,0.40999999999999304,2.9099999999999078,1.0,1.0
20.0,0 days 00:01:28.000000000,88.0,0.4799999999998761,0.0899999999999892,0.5699999999998653,1.0,1.0
21.0,0 days 00:03:27.000000000,207.0,10.059999999999832,1.3200000000000038,11.379999999999836,2.0,2.0
22.0,0 days 00:02:10.000000000,130.0,3.4199999999998454,0.46999999999999886,3.8899999999998442,1.0,2.0
23.0,0 days 00:02:11.000000000,131.0,3.2799999999997453,0.3599999999999923,3.6399999999997377,2.0,1.0
24.0,0 days 00:01:57.000000000,117.0,4.97999999999989,0.6399999999999864,5.619999999999877,1.0,1.0
25.0,0 days 00:02:32.000000000,152.0,5.379999999999896,0.6799999999999855,6.0599999999998815,2.0,2.0
26.0,0 days 00:02:40.000000000,160.0,9.439999999999728,1.4499999999999709,10.889999999999699,2.0,2.0
