Record,date,time,STALL1,STALL1_duration,STALL1 DIG,DUKE,DUKE,DUKE DIG
327, 4/21/2012, 7:44:41,1.02E+01,   0:30:04.045,9287,0.00E+00,   0:00:00.000,21
328, 4/21/2012, 7:44:46,1.02E+01,   0:30:09.067,9265,0.00E+00,   0:00:00.000,20
329, 4/21/2012, 7:44:51,1.02E+01,   0:30:14.087,9272,0.00E+00,   0:00:00.000,20
330, 4/21/2012, 7:44:56,1.02E+01,   0:30:19.104,9277,0.00E+00,   0:00:00.000,22
331, 4/21/2012, 7:45:01,1.02E+01,   0:30:24.123,9271,0.00E+00,   0:00:00.000,25
332, 4/21/2012, 7:45:06,1.02E+01,   0:30:29.141,9265,0.00E+00,   0:00:00.000,25
333, 4/21/2012, 7:45:11,1.02E+01,   0:30:34.173,9273,0.00E+00,   0:00:00.000,21
334, 4/21/2012, 7:45:16,1.02E+01,   0:30:39.194,9258,0.00E+00,   0:00:00.000,22
335, 4/21/2012, 7:45:21,1.02E+01,   0:30:44.213,9258,0.00E+00,   0:00:00.000,17
336, 4/21/2012, 7:45:26,1.02E+01,   0:30:49.254,9255,0.00E+00,   0:00:00.000,21
337, 4/21/2012, 7:45:32,1.02E+01,   0:30:54.282,9261,0.00E+00,   0:00:00.000,22
338, 4/21/2012, 7:45:37,1.02E+01,   0:30:59.299,9257,0.00E+00,   0:00:00.000,22
339, 4/21/2012, 7:45:42,1.09E+01,   0:31:04.317,9871,0.00E+00,   0:00:00.000,20
340, 4/21/2012, 7:45:47,1.09E+01,   0:31:09.335,9916,0.00E+00,   0:00:00.000,21
341, 4/21/2012, 7:45:52,1.09E+01,   0:31:14.355,9917,0.00E+00,   0:00:00.000,21
342, 4/21/2012, 7:45:57,1.09E+01,   0:31:19.383,9922,0.00E+00,   0:00:00.000,20
343, 4/21/2012, 7:55:31,1.00E+01,   0:31:26.871,9131,0.00E+00,   0:00:00.000,18
344, 4/21/2012, 7:55:36,1.00E+01,   0:31:31.889,9102,0.00E+00,   0:00:00.000,25
345, 4/21/2012, 7:55:41,1.00E+01,   0:31:36.907,9108,0.00E+00,   0:00:00.000,26
346, 4/21/2012, 7:55:46,1.00E+01,   0:31:41.922,9115,0.00E+00,   0:00:00.000,23
347, 4/21/2012, 7:55:51,9.99E+00,   0:31:46.974,9077,0.00E+00,   0:00:00.000,25
348, 4/21/2012, 7:55:56,1.00E+01,   0:31:51.993,9121,0.00E+00,   0:00:00.000,25
349, 4/21/2012, 7:56:02,6.86E+00,   0:31:57.011,6238,0.00E+00,   0:00:00.000,18
350, 4/21/2012, 8:25:40,1.06E+01,   0:32:02.873,9637,0.00E+00,   0:00:00.000,22
351, 4/21/2012, 8:25:45,1.06E+01,   0:32:07.891,9605,0.00E+00,   0:00:00.000,25
352, 4/21/2012, 8:25:50,1.06E+01,   0:32:12.924,9603,0.00E+00,   0:00:00.000,22
353, 4/21/2012, 8:25:55,1.05E+01,   0:32:17.939,9531,0.00E+00,   0:00:00.000,28
354, 4/21/2012, 8:26:00,1.05E+01,   0:32:22.957,9523,0.00E+00,   0:00:00.000,23
355, 4/21/2012, 8:26:05,1.05E+01,   0:32:27.976,9503,0.00E+00,   0:00:00.000,20
356, 4/21/2012, 8:26:10,1.05E+01,   0:32:33.004,9518,0.00E+00,   0:00:00.000,20
357, 4/21/2012, 8:26:15,1.05E+01,   0:32:38.024,9511,0.00E+00,   0:00:00.000,26
358, 4/21/2012, 8:26:20,1.05E+01,   0:32:43.043,9513,0.00E+00,   0:00:00.000,20
359, 4/21/2012, 8:26:25,1.03E+01,   0:32:48.061,9373,0.00E+00,   0:00:00.000,20
360, 4/21/2012, 8:26:30,1.06E+01,   0:32:53.082,9617,0.00E+00,   0:00:00.000,20
361, 4/21/2012, 8:26:35,1.05E+01,   0:32:58.107,9588,0.00E+00,   0:00:00.000,20
362, 4/21/2012, 8:26:40,1.06E+01,   0:33:03.150,9601,0.00E+00,   0:00:00.000,26
363, 4/21/2012, 8:26:45,1.06E+01,   0:33:08.168,9603,0.00E+00,   0:00:00.000,21
364, 4/21/2012, 8:31:13,1.96E+00,   0:33:18.571,1783,0.00E+00,   0:00:00.000,25
365, 4/21/2012, 8:31:19,2.86E+00,   0:33:23.587,2597,0.00E+00,   0:00:00.000,21
366, 4/21/2012, 8:31:27,2.03E+00,   0:33:31.620,1847,0.00E+00,   0:00:00.000,20
367, 4/21/2012, 8:31:32,2.93E+00,   0:33:36.646,2668,0.00E+00,   0:00:00.000,28
