event_num,duration,duration(s),ft_change,ut_change,tank_change,flowmeter,flowmeter-tank,num_max_feces,num_max_urine,urine_first,slope_ratio
1,0 days 00:01:53,113,2.49,0.27,2.76,3.322106667,0.562106667,1,0,1,
2,0 days 00:02:11,131,3.13,0.44,3.57,6.86062,3.29062,1,0,0,
3,0 days 00:05:32,332,12.349,1.38,13.729,21.34074333,7.611743333,6,5,0, 10.590000000000027 9.651741293532352 18.454545454545467 2.0457516339869297 36.399999999999835
4,0 days 00:01:07,67,0.32,0.15,0.47,1.671676667,1.201676667,1,1,1,1.973333333
5,0 days 00:02:43,163,4.333,0.32,4.653,2.611646667,-2.041353333,2,1,0,53.9625
6,0 days 00:02:22,142,1.79,0.69,2.48,2.60671,0.12671,1,2,0,2.553623188
7,0 days 00:02:29,149,4.88,0.7,5.58,7.579806667,1.999806667,1,1,1,6.933333333
8,0 days 00:12:07,727,17.841,2.148,19.989,30.6505,10.6615,8,6,0, 17.43243243243247 18.361277445109778 19.330218068535753 56.599999999999824 25.623809523809495 46.915789473684335
9,0 days 00:01:16,76,0.8,0.07,0.87,0,-0.87,1,0,0,
10,0 days 00:01:36,96,1.436,0.22,1.656,3.848316667,2.192316667,0,1,1,
11,0 days 00:01:32,92,1.695,0.12,1.815,4.957826667,3.142826667,1,1,0,15.84615385
12,0 days 00:02:32,152,3.449,0.4,3.849,0,-3.849,0,0,0,
13,0 days 00:04:46,286,8.68,0.69,9.37,13.6202,4.2502,2,1,1,35.64606742
14,0 days 00:05:20,320,4.88,0.66,5.54,13.67585,8.13585,2,2,0, 5.123249299719894 8.203703703703678
15,0 days 00:05:13,313,7.62,1.53,9.15,8.19226,-0.95774,4,4,0, 12.151724137931321 -3.063241106719332 -3.0726256983240416 9.077922077922103
16,0 days 00:06:27,387,14.16,2.06,16.22,25.06769,8.84769,4,5,1, 5.777777777777779 1.4090305444887021 0.7576552930883769 6.18448637316562
17,0 days 00:00:51,51,0.04,0.19,0.23,0,-0.23,0,1,1,
18,0 days 00:01:14,74,0.4,0.05,0.45,0.781456667,0.331456667,1,1,0,8.2
19,0 days 00:01:36,96,0.54,0.05,0.59,3.5737,2.9837,0,1,0,
20,0 days 00:06:51,411,19.2,3.26,22.46,35.06352333,12.60352333,6,6,0, 2.082417582417576 -2.1868131868132106 8.523076923076964 6.0700389105058346 6.061371841155239 3.7806691449813825
21,0 days 00:04:37,277,16.492,1.39,17.882,16.23484,-1.64716,5,4,1, 13.985915492957728 3.79271708683472 91.8684210526333 45.684729064039615
22,0 days 00:02:56,176,5.82,0.94,6.76,10.65462,3.89462,1,2,1,2.855319149
