Record,date,time,STALL1,STALL1,STALL1 DIG,DUKE,DUKE,DUKE DIG
1, 5/09/2012, 1:16:07,1.04E+01,   0:00:05.000,9466,0.00E+00,   0:00:00.000,18
2, 5/09/2012, 1:16:12,1.04E+01,   0:00:10.019,9432,0.00E+00,   0:00:00.000,25
3, 5/09/2012, 1:16:17,1.04E+01,   0:00:15.065,9427,0.00E+00,   0:00:00.000,26
4, 5/09/2012, 1:16:22,1.04E+01,   0:00:20.104,9422,0.00E+00,   0:00:00.000,21
5, 5/09/2012, 1:38:30,1.04E+01,   0:00:27.900,9446,0.00E+00,   0:00:00.000,22
6, 5/09/2012, 1:38:35,1.03E+01,   0:00:32.951,9343,0.00E+00,   0:00:00.000,16
7, 5/09/2012, 1:41:30,1.05E+01,   0:00:41.642,9573,0.00E+00,   0:00:00.000,23
8, 5/09/2012, 1:41:35,1.05E+01,   0:00:46.661,9542,0.00E+00,   0:00:00.000,18
9, 5/09/2012, 1:41:40,1.05E+01,   0:00:51.697,9525,0.00E+00,   0:00:00.000,15
10, 5/09/2012, 1:41:45,1.05E+01,   0:00:56.749,9525,0.00E+00,   0:00:00.000,17
11, 5/09/2012, 1:41:50,1.05E+01,   0:01:01.810,9525,0.00E+00,   0:00:00.000,22
12, 5/09/2012, 1:41:55,1.05E+01,   0:01:06.862,9528,0.00E+00,   0:00:00.000,20
13, 5/09/2012, 1:42:00,1.05E+01,   0:01:11.908,9518,0.00E+00,   0:00:00.000,17
14, 5/09/2012, 1:42:05,1.05E+01,   0:01:16.948,9522,0.00E+00,   0:00:00.000,28
15, 5/09/2012, 1:42:10,1.04E+01,   0:01:21.998,9448,0.00E+00,   0:00:00.000,22
16, 5/09/2012, 1:42:15,1.04E+01,   0:01:27.038,9453,0.00E+00,   0:00:00.000,23
17, 5/09/2012, 1:42:21,7.05E+00,   0:01:32.074,6407,0.00E+00,   0:00:00.000,20
18, 5/09/2012, 2:12:31,1.20E+01,   0:01:37.666,10946,0.00E+00,   0:00:00.000,16
19, 5/09/2012, 2:12:36,1.20E+01,   0:01:42.684,10903,0.00E+00,   0:00:00.000,22
20, 5/09/2012, 2:12:41,1.20E+01,   0:01:47.777,10896,0.00E+00,   0:00:00.000,10
21, 5/09/2012, 2:12:46,1.20E+01,   0:01:52.818,10925,0.00E+00,   0:00:00.000,25
22, 5/09/2012, 2:12:51,1.09E+01,   0:01:57.859,9908,0.00E+00,   0:00:00.000,11
23, 5/09/2012, 2:12:56,9.92E+00,   0:02:02.898,9008,0.00E+00,   0:00:00.000,18
24, 5/09/2012, 2:13:01,9.29E+00,   0:02:07.937,8443,0.00E+00,   0:00:00.000,6
25, 5/09/2012, 2:13:06,7.28E+00,   0:02:12.990,6617,0.00E+00,   0:00:00.000,15
26, 5/09/2012, 2:13:11,7.25E+00,   0:02:18.028,6583,0.00E+00,   0:00:00.000,30
27, 5/09/2012, 2:13:16,7.28E+00,   0:02:23.066,6620,0.00E+00,   0:00:00.000,28
28, 5/09/2012, 2:13:21,7.26E+00,   0:02:28.106,6601,0.00E+00,   0:00:00.000,22
29, 5/09/2012, 2:13:26,7.27E+00,   0:02:33.154,6607,0.00E+00,   0:00:00.000,22
30, 5/09/2012, 2:13:31,7.26E+00,   0:02:38.195,6595,0.00E+00,   0:00:00.000,22
31, 5/09/2012, 2:13:37,7.25E+00,   0:02:43.233,6593,0.00E+00,   0:00:00.000,21
32, 5/09/2012, 2:13:42,7.25E+00,   0:02:48.276,6587,0.00E+00,   0:00:00.000,12
33, 5/09/2012, 2:13:47,7.27E+00,   0:02:53.321,6605,0.00E+00,   0:00:00.000,26
34, 5/09/2012, 2:14:22,4.90E+00,   0:02:59.505,4458,0.00E+00,   0:00:00.000,20
35, 5/09/2012, 2:14:27,4.85E+00,   0:03:04.544,4411,0.00E+00,   0:00:00.000,21
36, 5/09/2012, 2:14:32,4.83E+00,   0:03:09.582,4392,0.00E+00,   0:00:00.000,22
37, 5/09/2012, 2:14:37,4.81E+00,   0:03:14.621,4376,0.00E+00,   0:00:00.000,25
38, 5/09/2012, 2:14:42,4.80E+00,   0:03:19.657,4367,0.00E+00,   0:00:00.000,16
39, 5/09/2012, 2:14:47,4.80E+00,   0:03:24.712,4363,0.00E+00,   0:00:00.000,26
40, 5/09/2012, 2:14:52,4.79E+00,   0:03:29.756,4356,0.00E+00,   0:00:00.000,18
41, 5/09/2012, 2:14:57,4.80E+00,   0:03:34.822,4362,0.00E+00,   0:00:00.000,26
42, 5/09/2012, 2:15:02,4.79E+00,   0:03:39.866,4356,0.00E+00,   0:00:00.000,21
43, 5/09/2012, 2:15:07,1.12E+00,   0:03:44.906,1015,0.00E+00,   0:00:00.000,20
44, 5/09/2012, 2:15:16,1.10E+01,   0:03:50.036,9986,0.00E+00,   0:00:00.000,23
45, 5/09/2012, 2:15:21,1.08E+01,   0:03:55.073,9845,0.00E+00,   0:00:00.000,17
46, 5/09/2012, 2:28:17,1.05E+01,   0:04:01.109,9566,0.00E+00,   0:00:00.000,25
47, 5/09/2012, 2:28:22,1.04E+01,   0:04:06.150,9485,0.00E+00,   0:00:00.000,18
48, 5/09/2012, 2:28:27,1.04E+01,   0:04:11.202,9465,0.00E+00,   0:00:00.000,25
49, 5/09/2012, 2:28:32,1.04E+01,   0:04:16.248,9481,0.00E+00,   0:00:00.000,22
50, 5/09/2012, 2:28:37,1.04E+01,   0:04:21.291,9476,0.00E+00,   0:00:00.000,27
51, 5/09/2012, 2:28:42,1.04E+01,   0:04:26.340,9468,0.00E+00,   0:00:00.000,16
52, 5/09/2012, 2:28:47,1.04E+01,   0:04:31.380,9471,0.00E+00,   0:00:00.000,26
53, 5/09/2012, 2:28:52,1.04E+01,   0:04:36.431,9462,0.00E+00,   0:00:00.000,22
54, 5/09/2012, 2:28:57,1.04E+01,   0:04:41.467,9467,0.00E+00,   0:00:00.000,10
55, 5/09/2012, 2:29:02,1.04E+01,   0:04:46.507,9471,0.00E+00,   0:00:00.000,18
56, 5/09/2012, 2:29:07,1.04E+01,   0:04:51.568,9445,0.00E+00,   0:00:00.000,17
57, 5/09/2012, 2:29:12,1.04E+01,   0:04:56.610,9472,0.00E+00,   0:00:00.000,23
58, 5/09/2012, 2:29:17,1.04E+01,   0:05:01.661,9465,0.00E+00,   0:00:00.000,13
59, 5/09/2012, 2:29:22,1.04E+01,   0:05:06.707,9457,0.00E+00,   0:00:00.000,21
60, 5/09/2012, 2:29:27,1.04E+01,   0:05:11.746,9485,0.00E+00,   0:00:00.000,25
61, 5/09/2012, 2:29:32,1.03E+01,   0:05:16.786,9371,0.00E+00,   0:00:00.000,18
62, 5/09/2012, 2:29:37,1.03E+01,   0:05:21.825,9378,0.00E+00,   0:00:00.000,17
63, 5/09/2012, 2:33:20,9.55E+00,   0:05:28.426,8683,0.00E+00,   0:00:00.000,23
64, 5/09/2012, 2:33:25,9.53E+00,   0:05:33.445,8665,0.00E+00,   0:00:00.000,26
65, 5/09/2012, 2:33:30,9.51E+00,   0:05:38.487,8642,0.00E+00,   0:00:00.000,15
66, 5/09/2012, 2:35:12,3.85E+00,   0:05:45.847,3501,0.00E+00,   0:00:00.000,26
67, 5/09/2012, 2:35:18,3.75E+00,   0:05:50.896,3406,0.00E+00,   0:00:00.000,22
68, 5/09/2012, 2:35:23,3.36E+00,   0:05:55.934,3050,0.00E+00,   0:00:00.000,7
69, 5/09/2012, 2:35:28,3.09E+00,   0:06:00.972,2813,0.00E+00,   0:00:00.000,3
70, 5/09/2012, 2:35:33,2.64E+00,   0:06:06.011,2398,0.00E+00,   0:00:00.000,21
71, 5/09/2012, 2:35:38,8.33E-01,   0:06:11.047,757,0.00E+00,   0:00:00.000,22
72, 5/09/2012, 2:35:45,2.37E+00,   0:06:16.131,2152,0.00E+00,   0:00:00.000,22
73, 5/09/2012, 2:35:50,2.31E+00,   0:06:21.174,2103,0.00E+00,   0:00:00.000,25
74, 5/09/2012, 3:17:19,1.16E+01,   0:06:26.973,10507,0.00E+00,   0:00:00.000,13
75, 5/09/2012, 3:17:24,1.15E+01,   0:06:31.994,10476,0.00E+00,   0:00:00.000,15
76, 5/09/2012, 3:17:29,1.15E+01,   0:06:37.036,10492,0.00E+00,   0:00:00.000,18
