duration,ft_change,ut_change,tank_change,time_lag,first_slope_ratio,first_fm_index,first_fm_value,event_num,duration(s),flowmeter,num_max_feces,num_max_urine,flowmeter-tank
0 days 00:02:11,0.3799999999999999,0.3,0.6799999999999999,12.0,1.683333333333333,0.0,0.06935123333333333,1.0,131.0,0.6920453333333333,2.0,2.0,0.012045333333333352
0 days 00:02:38,0.17999999999999972,0.010000000000000064,0.18999999999999978,,,,,,,,,,
0 days 00:03:13,8.899999999999999,0.9400000000000001,9.839999999999998,-3.0,10.346456692913385,0.0,0.18291333333333334,3.0,193.0,18.302805,4.0,3.0,8.462805000000001
0 days 00:01:12,1.120000000000001,0.15000000000000013,1.2700000000000011,16.0,8.357894736842095,0.0,0.17203949999999998,4.0,72.0,0.8601975,1.0,1.0,-0.4098025000000012
0 days 00:04:19,5.8199999999999985,0.28000000000000025,6.099999999999999,3.0,20.70588235294104,3.0,0.19217366666666666,5.0,259.0,5.941431000000001,2.0,2.0,-0.15856899999999818
0 days 00:01:44,2.2399999999999984,0.2200000000000002,2.4599999999999986,14.0,0.08536585365851063,0.0,0.20079216666666666,6.0,104.0,3.9174641666666665,1.0,2.0,1.457464166666668
0 days 00:04:47,7.75,0.8199999999999998,8.57,-6.0,21.60000000000092,7.0,0.18978983333333332,7.0,287.0,8.087523666666666,4.0,2.0,-0.4824763333333344
0 days 00:01:45,0.3399999999999963,0.020000000000000018,0.3599999999999963,4.0,0.9999999999994228,0.0,0.17688050000000002,8.0,105.0,5.346298333333333,1.0,0.0,4.9862983333333375
0 days 00:01:18,1.426999999999996,0.1200000000000001,1.5469999999999962,4.0,12.657894736842017,0.0,0.18016283333333333,9.0,78.0,1.4105879166666666,1.0,1.0,-0.13641208333332955
0 days 00:02:17,3.404999999999994,0.22999999999999998,3.634999999999994,-2.0,33.39999999999919,22.0,0.1692155,10.0,137.0,4.2358891666666665,2.0,2.0,0.6008891666666725
0 days 00:03:14,9.109999999999992,0.8299999999999992,9.93999999999999,-2.0,13.254437869822528,0.0,0.1928155,11.0,194.0,15.94189,3.0,3.0,6.00189000000001
0 days 00:06:13,2.3489999999999966,0.3000000000000007,2.6489999999999974,-143.0,0.07339449541280277,0.0,0.0,12.0,373.0,2.6471558333333336,1.0,1.0,-0.0018441666666637602
0 days 00:07:55,7.276000000000003,0.879999999999999,8.156000000000002,273.0,270.6666666666556,0.0,0.0,13.0,475.0,11.965012666666667,2.0,2.0,3.809012666666664
