event_num,duration,duration(s),ft_change,ut_change,tank_change,flowmeter,flowmeter-tank,num_max_feces,num_max_urine,urine_first,slope_ratio
1.0,0 days 00:02:15,135.0,1.7999999999999998,0.22999999999999937,2.0299999999999994,6.3246899999999995,4.29469,1.0,2.0,1.0, 11.750000000000044
2.0,0 days 00:01:18,78.0,0.13199999999999656,0.09099999999999986,0.22299999999999642,0.0,-0.22299999999999642,0.0,0.0,1.0,
3.0,0 days 00:00:55,55.0,0.028000000000000025,0.14600000000000013,0.17400000000000015,1.4794233333333335,1.3054233333333334,0.0,0.0,0.0,
4.0,0 days 00:02:46,166.0,2.27999999999999,0.22000000000000086,2.499999999999991,7.214153333333333,4.714153333333342,1.0,2.0,1.0, 11.703036369703018
5.0,0 days 00:01:21,81.0,0.2179999999999982,0.08999999999999986,0.30799999999999805,6.314769999999999,6.006770000000001,1.0,1.0,0.0, 1.8647540983606694
6.0,0 days 00:02:04,124.0,4.348000000000008,0.401,4.749000000000008,4.847076666666667,0.09807666666665948,1.0,2.0,0.0, 33.56466232605646
7.0,0 days 00:01:08,68.0,3.324000000000014,0.16000000000000036,3.484000000000014,0.0,-3.484000000000014,0.0,1.0,0.0,
8.0,0 days 00:03:48,228.0,7.899999999999995,0.8000000000000009,8.699999999999996,10.2614,1.5614000000000043,4.0,3.0,0.0, 5.570880277330669 11.683237805591038 6.848757271285078
9.0,0 days 00:01:01,61.0,0.38000000000000966,0.14800000000000146,0.5280000000000111,8.87286,8.344859999999988,1.0,0.0,1.0,
10.0,0 days 00:02:35,155.0,3.473999999999961,0.3080000000000003,3.7819999999999614,14.6098,10.827800000000039,1.0,2.0,1.0, 33.509345794392665
