duration,ft_change,ut_change,tank_change,time_lag,first_slope_ratio,first_fm_index,first_fm_value,event_num,duration(s),flowmeter,num_max_feces,num_max_urine,flowmeter-tank
0 days 00:01:35,4.644000000000001,0.4900000000000001,5.134000000000001,6.0,3.351145038167936,0.0,0.19158683333333335,1.0,95.0,5.756133333333333,2.0,2.0,0.6221333333333314
0 days 00:04:51,8.447000000000001,1.15,9.597000000000001,13.0,0.7999999999999823,0.0,0.1852605,2.0,291.0,13.423919166666668,2.0,2.0,3.8269191666666664
0 days 00:01:42,1.9200000000000017,0.16000000000000014,2.080000000000002,-6.0,10.122448979591814,0.0,0.16806033333333334,3.0,102.0,2.51687,1.0,1.0,0.4368699999999981
0 days 00:01:12,0.245000000000001,0.04999999999999982,0.2950000000000008,19.0,0.3999999999998508,0.0,0.15867165,4.0,72.0,1.3194520833333334,1.0,1.0,1.0244520833333326
0 days 00:02:12,4.91,0.48999999999999977,5.4,-1.0,9.836734693877506,10.0,0.17700883333333334,5.0,132.0,7.0928225000000005,2.0,2.0,1.6928225000000001
0 days 00:02:19,1.2099999999999973,0.06400000000000006,1.2739999999999974,-35.0,1.6999999999999067,0.0,0.14031613333333331,6.0,139.0,4.954157583333333,1.0,1.0,3.6801575833333358
0 days 00:02:34,10.16,0.4599999999999995,10.62,-17.0,1.0000000000001776,0.0,0.06845269999999999,7.0,154.0,6.192467666666666,2.0,2.0,-4.427532333333334
0 days 00:03:48,2.530000000000001,0.379999999999999,2.91,20.0,6.42635658914722,0.0,0.18273,8.0,228.0,3.6448816666666666,2.0,2.0,0.7348816666666664
0 days 00:01:29,0.25500000000000256,0.14999999999999947,0.405000000000002,14.0,1.5945945945945208,,0.0,9.0,89.0,0.0,1.0,1.0,-0.405000000000002
0 days 00:02:48,8.851999999999997,0.9999999999999996,9.851999999999997,5.0,0.049019607843127345,0.0,0.18135466666666666,10.0,168.0,13.561539166666666,2.0,2.0,3.7095391666666693
0 days 00:05:05,17.333999999999996,2.630000000000001,19.964,9.0,19.931372549019628,0.0,0.16807866666666668,11.0,305.0,32.6929975,2.0,6.0,12.728997499999998
0 days 00:01:15,0.12000000000001165,-1.7763568394002505e-15,0.12000000000000988,,,,,,,,,,
0 days 00:01:57,2.9000000000000057,0.3600000000000012,3.260000000000007,3.0,8.333333333333231,24.0,0.17435,13.0,117.0,1.6696008333333334,1.0,1.0,-1.5903991666666735
0 days 00:02:13,4.089999999999989,0.46999999999999886,4.559999999999988,-4.0,8.96788990825694,0.0,0.17957599999999999,14.0,133.0,5.319432833333333,1.0,1.0,0.7594328333333449
