event_num,duration,duration(s),ft_change,ut_change,tank_change,flowmeter,flowmeter-tank,num_max_feces,num_max_urine
1.0,0 days 00:01:37.000000000,97.0,1.4800000000000013,0.08000000000000038,1.5600000000000016,2.525,0.9649999999999983,1.0,2.0
2.0,0 days 00:01:52.000000000,112.0,2.7500000000000044,0.37999999999999967,3.1300000000000043,5.300000000000001,2.1699999999999964,2.0,1.0
3.0,0 days 00:07:51.000000000,471.0,23.369999999999997,3.660000000000002,27.03,41.73416666666667,14.704166666666666,10.0,12.0
4.0,0 days 00:02:21.000000000,141.0,2.730000000000029,0.27000000000000135,3.00000000000003,1.7175000000000002,-1.28250000000003,3.0,2.0
5.0,0 days 00:02:42.000000000,162.0,6.4099999999999895,0.8500000000000041,7.259999999999994,10.8425,3.582500000000006,2.0,1.0
6.0,0 days 00:08:06.000000000,486.0,22.619999999999948,2.839999999999983,25.45999999999993,32.59833333333333,7.138333333333399,13.0,12.0
7.0,0 days 00:01:21.000000000,81.0,1.069999999999986,0.18999999999999773,1.2599999999999838,0.0,-1.2599999999999838,1.0,2.0
8.0,0 days 00:03:05.000000000,185.0,5.239999999999853,0.6899999999999977,5.9299999999998505,7.725,1.7950000000001491,2.0,4.0
9.0,0 days 00:01:45.000000000,105.0,0.9499999999999744,0.009999999999990905,0.9599999999999653,1.775,0.8150000000000346,2.0,0.0
10.0,0 days 00:03:40.000000000,220.0,2.9099999999998687,0.4399999999999906,3.3499999999998593,1.045,-2.3049999999998594,3.0,5.0
11.0,0 days 00:01:52.000000000,112.0,2.79099999999994,0.45999999999999197,3.250999999999932,3.566666666666667,0.31566666666673493,2.0,1.0
12.0,0 days 00:04:00.000000000,240.0,5.48999999999991,0.8100000000000005,6.29999999999991,7.502500000000001,1.2025000000000912,4.0,6.0
13.0,0 days 00:00:56.000000000,56.0,1.5299999999999585,0.03999999999999382,1.5699999999999523,4.8950000000000005,3.325000000000048,1.0,1.0
14.0,0 days 00:02:13.000000000,133.0,3.6399999999998727,0.4299999999999873,4.06999999999986,0.0,-4.06999999999986,4.0,1.0
15.0,0 days 00:03:40.000000000,220.0,9.539999999999793,1.774999999999979,11.314999999999772,21.449166666666667,10.134166666666895,5.0,5.0
16.0,0 days 00:05:14.000000000,314.0,14.45999999999988,2.0299999999999727,16.489999999999853,18.26083333333333,1.7708333333334778,7.0,4.0
17.0,0 days 00:01:29.000000000,89.0,0.8799999999998818,0.23999999999998067,1.1199999999998624,1.0258333333333334,-0.09416666666652906,2.0,1.0
18.0,0 days 00:03:02.000000000,182.0,6.499999999999858,0.6500000000000004,7.149999999999858,8.9625,1.812500000000142,3.0,2.0
19.0,0 days 00:03:00.000000000,180.0,5.359999999999928,0.73999999999997,6.099999999999898,9.583333333333334,3.4833333333334355,3.0,2.0
20.0,0 days 00:00:38.000000000,38.0,0.0,0.10999999999998522,0.10999999999998522,0.0,-0.10999999999998522,1.0,0.0
21.0,0 days 00:00:29.000000000,29.0,0.0,0.09999999999998721,0.09999999999998721,0.4383333333333333,0.3383333333333461,0.0,1.0
22.0,0 days 00:03:36.000000000,216.0,3.7799999999999727,0.2899999999999885,4.069999999999961,6.218333333333332,2.1483333333333707,1.0,1.0
23.0,0 days 00:03:04.000000000,184.0,3.1799999999999784,0.7360000000000007,3.915999999999979,3.495833333333333,-0.4201666666666459,4.0,3.0
24.0,0 days 00:06:49.000000000,409.0,19.539999999999864,3.089999999999961,22.629999999999825,34.88666666666666,12.256666666666838,14.0,9.0
25.0,0 days 00:01:51.000000000,111.0,0.9799999999999329,0.30000000000001137,1.2799999999999443,0.8916666666666666,-0.3883333333332777,4.0,1.0
26.0,0 days 00:02:05.000000000,125.0,0.9999999999997726,0.36999999999995126,1.3699999999997239,2.0791666666666666,0.7091666666669427,2.0,2.0
27.0,0 days 00:02:18.000000000,138.0,5.499999999999773,0.6099999999999959,6.1099999999997685,6.308333333333334,0.19833333333356507,2.0,1.0
28.0,0 days 00:01:49.000000000,109.0,2.6999999999999886,0.29999999999999005,2.9999999999999787,3.4750000000000005,0.47500000000002185,2.0,1.0
29.0,0 days 00:02:49.000000000,169.0,11.119999999999862,1.4699999999999704,12.589999999999833,15.833333333333336,3.243333333333503,3.0,3.0
30.0,0 days 00:02:05.000000000,125.0,1.6799999999997794,0.16999999999996618,1.8499999999997456,6.174999999999999,4.325000000000253,2.0,1.0
31.0,0 days 00:02:57.000000000,177.0,7.3199999999996805,0.8900000000000325,8.209999999999713,13.0025,4.792500000000286,6.0,3.0
32.0,0 days 00:03:43.000000000,223.0,7.319999999999794,0.7799999999999443,8.099999999999739,11.299999999999999,3.2000000000002604,7.0,4.0
33.0,0 days 00:02:58.000000000,178.0,4.656000000000205,0.5699999999999505,5.226000000000155,7.846666666666666,2.6206666666665104,5.0,3.0
